distrito_codigo,distrito_nombre,municipio_codigo,municipio_nombre,superficie_km2,densidad_por_km2
79601,    Centro ,796,Madrid,5.21,25340.69
79602,    Arganzuela ,796,Madrid,6.52,23306.44
79603,    Retiro ,796,Madrid,5.42,21867.53
79604,    Salamanca ,796,Madrid,5.36,26830.78
79605,    Chamartin ,796,Madrid,9.12,15723.25
79606,    Tetuan ,796,Madrid,5.37,28664.25
79607,    Chamberí ,796,Madrid,4.73,29049.26
79608,    Fuencarral-El Pardo ,796,Madrid,238.00,1003.00
79609,    Moncloa-Aravaca ,796,Madrid,46.47,2515.26
79610,    Latina ,796,Madrid,25.47,9183.75
79611,    Carabanchel ,796,Madrid,14.10,17316.88
79612,    Usera ,796,Madrid,7.70,17535.32
79613,    Puente de Vallecas ,796,Madrid,14.84,15345.01
79614,    Moratalaz ,796,Madrid,6.08,15493.59
79615,    Ciudad Lineal ,796,Madrid,11.52,18455.56
79616,    Hortaleza ,796,Madrid,25.87,6973.33
79617,    Villaverde ,796,Madrid,20.21,7059.13
79618,    Villa de Vallecas ,796,Madrid,51.49,2026.82
79619,    Vicálvaro ,796,Madrid,35.36,1981.11
79620,    San Blas-Canillejas ,796,Madrid,22.26,6934.37
79621,    Barajas ,796,Madrid,43.56,1076.06
